Instruction;Arg1;Arg2;Arg3;Arg4;Op1;Op2;Op3;Op4;Legacy;REX/VEX;Opcode;ModR/M;Disp;Imm;64-bits Mode;Legacy Mode;Special;Grammar;AT&T;Family;Annotate;Description;Notes;
-;;;;;;;;;;;D4;;;ib;Invalid;Valid;8086;;-;UNDEF;NA;Adjust AX after multiply to number base imm8.;;
-;;;;;;;;;;;D5;;;ib;Invalid;Valid;8086;;-;UNDEF;NA;Adjust AX before division to number base imm8.;;
AAA;;;;;;;;;;;37;;;;Invalid;Valid;8086;;AAA;ASCII;NA;ASCII adjust AL after addition.;;
AAD;;;;;;;;;;;D5 0A;;;;Invalid;Valid;8086;;AAD;ASCII;NA;ASCII adjust AX before division.;;
AAM;;;;;;;;;;;D4 0A;;;;Invalid;Valid;8086;;AAM;ASCII;NA;ASCII adjust AX after multiply.;;
AAS;;;;;;;;;;;3F;;;;Invalid;Valid;8086;;AAS;ASCII;NA;ASCII adjust AL after subtraction.;;
ADC;r8;m8/r8;;;ModRM:reg (r);ModRM:r/m (r, w);;;;;10;/r;;;Valid;Valid;8086;;ADC;ADD;NA;Add with carry byte register to r/m8.;;
ADC;r8<>[ABCD]H;m8/r8<>[ABCD]H;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX;10;/r;;;Valid;N.E.;8086;;ADC;ADD;NA;Add with carry byte register to r/m64.;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
ADC;r64;m64/r64;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W;11;/r;;;Valid;N.E.;8086;;ADC;ADD;NA;Add with CF r64 to r/m64.;;
ADC;r16;m16/r16;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;11;/r;;;Valid;Valid;8086;;ADC;ADD;NA;Add with carry r16 to r/m16.;;
ADC;r32;m32/r32;;;ModRM:reg (r);ModRM:r/m (r, w);;;;REX.W0;11;/r;;;Valid;Valid;8086;;ADC;ADD;NA;Add with CF r32 to r/m32.;;
ADC;m8/r8;r8;;;ModRM:r/m (r);ModRM:reg (r, w);;;;;12;/r;;;Valid;Valid;8086;;ADC;ADD;NA;Add with carry r/m8 to byte register.;;
ADC;m8/r8<>[ABCD]H;r8<>[ABCD]H;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX;12;/r;;;Valid;N.E.;8086;;ADC;ADD;NA;Add with carry r/m64 to byte register.;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
ADC;m64/r64;r64;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W;13;/r;;;Valid;N.E.;8086;;ADC;ADD;NA;Add with CF r/m64 to r64.;;
ADC;m16/r16;r16;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;13;/r;;;Valid;Valid;8086;;ADC;ADD;NA;Add with carry r/m16 to r16.;;
ADC;r32;r32;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;13;/r;;;Valid;Valid;8086;;ADC;ADD;NA;Add with CF r/m32 to r32.;;
ADC;m32;r32;;;ModRM:r/m (r);ModRM:reg (r, w);;;;REX.W0;13;/r;;;Valid;Valid;8086;;ADC;ADD;NA;Add with CF r/m32 to r32.;;
ADC;imm8;r8=AL;;;imm8;;;;;;14;;;ib;Invalid;Valid;8086;;ADC;ADD;NA;Add with carry imm8 to AL.;;
ADC;imm16;r16=AX;;;imm16;;;;;REX.W0;15;;;iw;Invalid;Valid;8086;Legacy66;ADC;ADD;NA;Add with carry imm16 to AX.;;
ADC;imm32;r32=EAX;;;imm32;;;;;REX.W0;15;;;id;Invalid;Valid;8086;;ADC;ADD;NA;Add with carry imm32 to EAX.;;
ADC;imm32;r64=RAX;;;imm32;;;;;REX.W;15;;;id;Invalid;N.E.;8086;;ADC;ADD;NA;Add with carry imm32 sign extended to 64-bits to RAX.;;
ADC;imm8;m8/r8<>[ABCD]H;;;imm8;ModRM:r/m (r, w);;;;REX;80;/2;;ib;Valid;N.E.;8086;;ADC;ADD;NA;Add with carry imm8 to r/m8.;* In 64-bit mode, r/m8 can not be encoded to access the following byte registers if a REX prefix is used: AH, BH, CH, DH.;
ADC;imm8;r8;;;imm8;ModRM:r/m (r, w);;;;;80;/2;;ib;Valid;Valid;8086;;ADC;ADD;NA;Add with carry imm8 to r/m8.;;
ADC;imm8;m8;;;imm8;ModRM:r/m (r, w);;;;;80;/2;;ib;Valid;Valid;8086;;ADC;ADD;NA;Add with carry imm8 to r/m8.;;
ADC;imm16;m16;;;imm16;ModRM:r/m (r, w);;;;REX.W0;81;/2;;iw;Valid;Valid;8086;;ADC;ADD;NA;Add with carry imm16 to r/m16.;;
ADC;imm16;r16;;;imm16;ModRM:r/m (r, w);;;;REX.W0;81;/2;;iw;Valid;Valid;8086;;ADC;ADD;NA;Add with carry imm16 to r/m16.;;
ADC;imm32;m64;;;imm32;ModRM:r/m (r, w);;;;REX.W;81;/2;;id;Valid;N.E.;8086;;ADC;ADD;NA;Add with CF imm32 sign extended to 64-bits to r/m64.;;
ADC;imm32;r64;;;imm32;ModRM:r/m (r, w);;;;REX.W;81;/2;;id;Valid;N.E.;8086;;ADC;ADD;NA;Add with CF imm32 sign extended to 64-bits to r/m64.;;
ADC;imm32;m32;;;imm32;ModRM:r/m (r, w);;;;REX.W0;81;/2;;id;Valid;Valid;8086;;ADC;ADD;NA;Add with CF imm32 to r/m32.;;
ADC;imm32;r32;;;imm32;ModRM:r/m (r, w);;;;REX.W0;81;/2;;id;Valid;Valid;8086;;ADC;ADD;NA;Add with CF imm32 to r/m32.;;
ADC;imm8;r64;;;imm8;ModRM:r/m (r, w);;;;REX.W;83;/2;;ib;Valid;N.E.;8086;;ADC;ADD;NA;Add with CF sign-extended imm8 into r/m64.;;
ADC;imm8;m64;;;imm8;ModRM:r/m (r, w);;;;REX.W;83;/2;;ib;Valid;N.E.;8086;;ADC;ADD;NA;Add with CF sign-extended imm8 into r/m64.;;
ADC;imm8;m16;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/2;;ib;Valid;Valid;8086;;ADC;ADD;NA;Add with CF sign-extended imm8 to r/m16.;;
ADC;imm8;r16;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/2;;ib;Valid;Valid;8086;;ADC;ADD;NA;Add with CF sign-extended imm8 to r/m16.;;
ADC;imm8;m32;;;imm8;ModRM:r/m (r, w);;;;REX.W0;83;/2;;ib;Valid;Valid;8086;;ADC;ADD;NA;Add with CF sign-extended imm8 into r/m32.;;
